# tag,kind -- 细分分类（大类/子类），未列出 = 未分类；改规则请改 _dev_tests/_gen_tag_kind.py 重跑
animal_sex_toy,sex/act
animal_shaped_pillow,object/other
animal_shoes,clothing/footwear
animal_skin,person/body
animal_slippers,clothing/footwear
animal_swim_ring,clothing/accessory
animal_themed_food,object/food
animal_themed_footwear,clothing/footwear
animal_themed_umbrella,object/tool
animal_vulva,sex/body
animal_with_hair,person/hair
animated_background,scene/background
animated_text,style/quality
animation_paper,object/tool
anime_ace_(font),style/medium
anime_coloring,style/medium
anime_eyes,style/medium
anime_figure,style/medium
anime_girl_throwing_things_(meme),style/medium
anime_nosebleed,style/medium
anime_screenshot_inset,style/medium
anime_style,style/medium
ankh_earrings,clothing/accessory
ankh_necklace,clothing/accessory
ankh_pendant,clothing/accessory
ankh_tattoo,person/body
ankle,person/body
ankle_band,person/body
ankle_bell,person/body
ankle_belt,clothing/accessory
ankle_boots,clothing/footwear
ankle_bow,clothing/head
ankle_chain,person/body
ankle_crossing_leg,person/body
ankle_cuffs,person/body
ankle_fins,person/body
ankle_flower,person/body
ankle_fluff,person/body
ankle_garter,clothing/legwear
ankle_grab,person/body
ankle_guards,person/body
ankle_gun,person/body
ankle_holster,person/body
ankle_lace_up,person/body
ankle_markings,person/body
ankle_ribbon,clothing/head
ankle_ring,clothing/accessory
ankle_rope,person/body
ankle_scrunchie,person/body
ankle_socks,clothing/legwear
ankle_spikes,person/body
ankle_strap,person/body
ankle_strap_heels,clothing/footwear
ankle_tattoo,person/body
ankle_tuft,person/body
ankle_warmers,person/body
ankle_wings,person/body
ankle_wrap,person/body
ankle_wraps,person/body
ankles_tied,person/body
ankles_together,person/body
announcing_anal_orgasm,sex/act
announcing_orgasm,sex/act
annoyed,expression/face
annoyed_pred,expression/face
answering_door,scene/outdoor
ant_girl,person/count
anteater_ears,person/body
antelope_ears,person/body
antenna_hair,person/hair
anthias_(fish),object/food
anthro_dominating_human,person/count
anthro_dominating_humanoid,person/count
anthro_dominating_male,person/count
anthro_fingering_human,person/count
anthro_focus,camera/framing
anthro_penetrating_female,person/count
anthro_penetrating_human,person/count
anthro_penetrating_humanoid,person/count
anthro_penetrating_male,person/count
anthro_pov,camera/angle
anthro_rape,sex/act
anthro_rimming_human,person/count
anthro_to_human,person/count
anthro_to_humanoid,person/count
anti_aircraft_gun,object/weapon
anti_demon_corps_uniform,clothing/whole
anti_materiel_rifle,object/weapon
anti_personnel_weapon,object/weapon
anti_rain_(girls'_frontline),person/count
anti_tank_grenade,object/weapon
antique_cannon,object/weapon
antique_phone,object/tool
antler_headband,clothing/head
antler_jewelry,clothing/accessory
antler_ribbon,clothing/head
antler_ring,clothing/accessory
antlers_through_headwear,clothing/head
antlers_through_hood,clothing/head
anus,sex/body
anus_behind_g_string,sex/body
anus_behind_thong,sex/body
anus_blush,sex/body
anus_close_up,sex/body
anus_cutout,sex/body
anus_expansion,sex/body
anus_focus,camera/framing
anus_grab,sex/body
anus_held_open,sex/body
anus_holding_torso,sex/body
anus_kiss,sex/body
anus_mouth,sex/body
anus_on_glass,sex/body
anus_only,sex/body
anus_outline,sex/body
anus_peek,sex/body
anus_piercing,sex/body
anus_pocket,sex/body
anus_slip,sex/body
anus_stretched_by_vaginal,sex/body
anus_transformation,sex/body
anus_visible_through_clothes,clothing/other
anya's_heh_face_(meme),person/body
anya_(spy_x_family)_(cosplay),style/medium
anywhere_door,scene/outdoor
anzio_ironworks_20mm_rifle,object/weapon
anzio_military_uniform,clothing/whole
anzio_school_uniform,clothing/whole
aoba_johsai_volleyball_uniform,clothing/whole
aogami_high_school_uniform,clothing/whole
aoki_ume_(style),style/medium
aoku_haruka/flower,scene/nature
aoshidan_school_uniform,clothing/whole
aoyama_goushou_(style),style/medium
aozora_jumping_heart,expression/action
aozora_middle_school_uniform,clothing/whole
aperture_logo,style/quality
aphrodisiac_mask,clothing/head
apple,object/food
apple_(inmu),object/food
apple_core,object/food
apple_earrings,clothing/accessory
apple_gag,object/food
apple_hair_ornament,clothing/head
